_id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd
0,8450,7,5,2003,2003
1,9600,6,8,1976,1976
2,11250,7,5,2001,2002
3,9550,7,5,1915,1970
4,14260,8,5,2000,2000
5,14115,5,5,1993,1995
6,10084,8,5,2004,2005
7,10382,7,6,1973,1973
8,6120,7,5,1931,1950
9,7420,5,6,1939,1950
10,11200,5,5,1965,1965
11,11924,9,5,2005,2006
12,12968,5,6,1962,1962
13,10652,7,5,2006,2007
14,10920,6,5,1960,1960
15,6120,7,8,1929,2001
16,11241,6,7,1970,1970
17,10791,4,5,1967,1967
18,13695,5,5,2004,2004
19,7560,5,6,1958,1965
20,14215,8,5,2005,2006
21,7449,7,7,1930,1950
22,9742,8,5,2002,2002
23,4224,5,7,1976,1976
24,8246,5,8,1968,2001
25,14230,8,5,2007,2007
26,7200,5,7,1951,2000
27,11478,8,5,2007,2008
28,16321,5,6,1957,1997
29,6324,4,6,1927,1950
30,8500,4,4,1920,1950
31,8544,5,6,1966,2006
32,11049,8,5,2007,2007
33,10552,5,5,1959,1959
34,7313,9,5,2005,2005
35,13418,8,5,2004,2005
36,10859,5,5,1994,1995
37,8532,5,6,1954,1990
38,7922,5,7,1953,2007
39,6040,4,5,1955,1955
40,8658,6,5,1965,1965
41,16905,5,6,1959,1959
42,9180,5,7,1983,1983
43,9200,5,6,1975,1980
44,7945,5,6,1959,1959
45,7658,9,5,2005,2005
46,12822,7,5,2003,2003
47,11096,8,5,2006,2006
48,4456,4,5,1920,2008
49,7742,5,7,1966,1966
50,13869,6,6,1997,1997
51,6240,6,6,1934,1950
52,8472,5,5,1963,1963
53,50271,9,5,1981,1987
54,7134,5,5,1955,1955
55,10175,6,5,1964,1964
56,2645,8,5,1999,2000
57,11645,7,5,2004,2004
58,13682,10,5,2006,2006
59,7200,5,7,1972,1972
60,13072,6,5,2004,2004
61,7200,5,7,1920,1996
62,6442,8,5,2006,2006
63,10300,7,6,1921,1950
64,9375,7,5,1997,1998
65,9591,8,5,2004,2005
66,19900,7,5,1970,1989
67,10665,7,5,2003,2003
68,4608,4,6,1945,1950
69,15593,7,4,1953,1953
70,13651,7,6,1973,1973
71,7599,4,6,1982,2006
72,10141,7,5,1998,1998
73,10200,5,7,1954,2003
74,5790,3,6,1915,1950
75,1596,4,5,1973,1973
76,8475,4,7,1956,1956
77,8635,5,5,1948,2001
78,10778,4,5,1968,1968
79,10440,5,6,1910,1981
80,13000,6,6,1968,1968
81,4500,6,5,1998,1998
82,10206,8,5,2007,2007
83,8892,5,5,1960,1960
84,8530,7,5,1995,1996
85,16059,8,5,1991,1992
86,11911,6,5,2005,2005
87,3951,6,5,2009,2009
88,8470,3,2,1915,1982
89,8070,4,5,1994,1995
90,7200,4,5,1950,1950
91,8500,5,3,1961,1961
92,13360,5,7,1921,2006
93,7200,6,6,1910,1998
94,9337,6,5,1997,1997
95,9765,6,8,1993,1993
96,10264,7,5,1999,1999
97,10921,4,5,1965,1965
98,10625,5,5,1920,1950
99,9320,4,5,1959,1959
100,10603,6,7,1977,2001
101,9206,6,5,1985,1985
102,7018,5,5,1979,1979
103,10402,7,5,2009,2009
104,7758,7,4,1931,1950
105,9375,8,5,2003,2004
106,10800,4,7,1885,1995
107,6000,5,5,1948,1950
108,8500,5,7,1919,2005
109,11751,6,6,1977,1977
110,9525,6,4,1954,1972
111,7750,7,5,2000,2000
112,9965,7,5,2007,2007
113,21000,6,5,1953,1953
114,7259,6,8,1945,2002
115,3230,6,5,1999,1999
116,11616,5,5,1962,1962
117,8536,5,5,2006,2007
118,12376,7,5,1990,1990
119,8461,6,5,2005,2006
120,21453,6,5,1969,1969
121,6060,4,5,1939,1950
122,9464,6,7,1958,1958
123,7892,6,5,1993,1993
124,17043,6,5,1979,1998
125,6780,6,8,1935,1982
126,4928,6,5,1976,1976
127,4388,5,7,1930,1950
128,7590,6,5,1966,1966
129,8973,5,7,1958,1991
130,14200,7,6,1966,1966
131,12224,6,5,2000,2000
132,7388,5,6,1959,2002
133,6853,8,5,2001,2002
134,10335,5,6,1968,1993
135,10400,7,6,1970,1970
136,10355,5,5,1967,1967
137,11070,7,5,1988,1989
138,9066,8,5,1999,2000
139,15426,6,5,1997,1997
140,10500,4,5,1971,1971
141,11645,7,5,2005,2005
142,8520,5,4,1952,1952
143,10335,7,5,1999,1999
144,9100,5,5,1963,1963
145,2522,6,5,2004,2006
146,6120,5,7,1931,1993
147,9505,7,5,2001,2001
148,7500,7,5,2004,2005
149,6240,5,4,1936,1950
150,10356,5,6,1975,1975
151,13891,8,5,2007,2008
152,14803,6,5,1971,1971
153,13500,6,7,1960,1975
154,11340,6,5,1923,1950
155,9600,6,5,1924,1950
156,7200,5,7,1950,1950
157,12003,8,5,2009,2010
158,12552,7,5,2004,2005
159,19378,7,5,2005,2006
160,11120,6,6,1984,1984
161,13688,9,5,2003,2004
162,12182,7,5,2005,2005
163,5500,4,6,1956,1956
164,5400,6,7,1926,2004
165,10106,5,7,1940,1999
166,10708,5,5,1955,1993
167,10562,8,5,2007,2007
168,8244,7,5,2004,2004
169,16669,8,6,1981,1981
170,12358,5,6,1941,1950
171,31770,6,5,1960,1960
172,5306,7,7,1987,1987
173,10197,6,5,1961,1961
174,12416,6,5,1986,1986
175,12615,6,7,1950,2001
176,10029,6,5,1988,1989
177,13650,5,5,1958,1958
178,17423,9,5,2008,2009
179,8520,5,6,1923,2006
180,2117,6,5,2000,2000
181,7588,7,6,1920,1950
182,9060,5,6,1957,2006
183,11426,7,5,2003,2003
184,7438,5,8,1908,1991
185,22950,10,9,1892,1993
186,9947,7,5,1990,1991
187,10410,5,7,1916,1987
188,7018,5,5,1979,1979
189,4923,8,5,2001,2002
190,10570,8,8,1932,1994
191,7472,7,9,1972,2004
192,9017,7,5,1999,1999
193,2522,7,5,2004,2004
194,7180,5,7,1972,1972
195,2280,6,6,1976,1976
196,9416,7,5,2007,2007
197,25419,8,4,1918,1990
198,5520,6,6,1912,1950
199,9591,8,5,2004,2005
200,8546,4,5,2003,2004
201,10125,6,6,1977,1977
202,7000,6,6,1924,1950
203,4438,6,5,2004,2004
204,3500,5,7,1947,1950
205,11851,7,5,1990,1990
206,13673,5,5,1962,1962
207,12493,4,5,1960,1960
208,14364,7,5,1988,1989
209,8250,6,7,1964,1964
210,5604,5,6,1925,1950
211,10420,6,5,2009,2009
212,8640,7,5,2009,2009
213,13568,5,5,1995,1995
214,10900,6,7,1977,1977
215,10011,5,6,1957,1996
216,8450,7,5,2004,2004
217,9906,4,4,1925,1950
218,15660,7,9,1939,2006
219,3010,7,5,2005,2006
