_id,OverallQual,YearBuilt,YearRemodAdd,GrLivArea,GarageCars,GarageArea,SalePrice
0,7,2003,2003,1710,2,548,208500
1,6,1976,1976,1262,2,460,181500
2,7,2001,2002,1786,2,608,223500
3,7,1915,1970,1717,3,642,140000
4,8,2000,2000,2198,3,836,250000
5,5,1993,1995,1362,2,480,143000
6,8,2004,2005,1694,2,636,307000
7,7,1973,1973,2090,2,484,200000
8,7,1931,1950,1774,2,468,129900
9,5,1939,1950,1077,1,205,118000
10,5,1965,1965,1040,1,384,129500
11,9,2005,2006,2324,3,736,345000
12,5,1962,1962,912,1,352,144000
13,7,2006,2007,1494,3,840,279500
14,6,1960,1960,1253,1,352,157000
15,7,1929,2001,854,2,576,132000
16,6,1970,1970,1004,2,480,149000
17,4,1967,1967,1296,2,516,90000
18,5,2004,2004,1114,2,576,159000
19,5,1958,1965,1339,1,294,139000
20,8,2005,2006,2376,3,853,325300
21,7,1930,1950,1108,1,280,139400
22,8,2002,2002,1795,2,534,230000
23,5,1976,1976,1060,2,572,129900
24,5,1968,2001,1060,1,270,154000
25,8,2007,2007,1600,3,890,256300
26,5,1951,2000,900,2,576,134800
27,8,2007,2008,1704,3,772,306000
28,5,1957,1997,1600,1,319,207500
29,4,1927,1950,520,1,240,68500
30,4,1920,1950,1317,1,250,40000
31,5,1966,2006,1228,1,271,149350
32,8,2007,2007,1234,2,484,179900
33,5,1959,1959,1700,2,447,165500
34,9,2005,2005,1561,2,556,277500
35,8,2004,2005,2452,3,691,309000
36,5,1994,1995,1097,2,672,145000
37,5,1954,1990,1297,2,498,153000
38,5,1953,2007,1057,1,246,109000
39,4,1955,1955,1152,0,0,82000
40,6,1965,1965,1324,2,440,160000
41,5,1959,1959,1328,1,308,170000
42,5,1983,1983,884,2,504,144000
43,5,1975,1980,938,1,308,130250
44,5,1959,1959,1150,1,300,141000
45,9,2005,2005,1752,2,576,319900
46,7,2003,2003,2149,2,670,239686
47,8,2006,2006,1656,3,826,249700
48,4,1920,2008,1452,0,0,113000
49,5,1966,1966,955,1,386,127000
50,6,1997,1997,1470,2,388,177000
51,6,1934,1950,1176,2,528,114500
52,5,1963,1963,816,2,516,110000
53,9,1981,1987,1842,3,894,385000
54,5,1955,1955,1360,2,572,130000
55,6,1964,1964,1425,2,576,180500
56,8,1999,2000,1739,2,480,172500
57,7,2004,2004,1720,2,565,196500
58,10,2006,2006,2945,3,641,438780
59,5,1972,1972,780,1,352,124900
60,6,2004,2004,1158,2,576,158000
61,5,1920,1996,1111,1,288,101000
62,8,2006,2006,1370,2,484,202500
63,7,1921,1950,1710,2,480,140000
64,7,1997,1998,2034,2,645,219500
65,8,2004,2005,2473,3,852,317000
66,7,1970,1989,2207,2,576,180000
67,7,2003,2003,1479,2,558,226000
68,4,1945,1950,747,1,220,80000
69,7,1953,1953,2287,2,667,225000
70,7,1973,1973,2223,2,516,244000
71,4,1982,2006,845,2,360,129500
72,7,1998,1998,1718,2,427,185000
73,5,1954,2003,1086,2,490,144900
74,3,1915,1950,1605,1,379,107400
75,4,1973,1973,988,1,297,91000
76,4,1956,1956,952,1,283,135750
77,5,1948,2001,1285,1,240,127000
78,4,1968,1968,1768,0,0,136500
79,5,1910,1981,1230,2,440,110000
80,6,1968,1968,2142,1,509,193500
81,6,1998,1998,1337,2,405,153500
82,8,2007,2007,1563,3,758,245000
83,5,1960,1960,1065,2,461,126500
84,7,1995,1996,1474,2,400,168500
85,8,1991,1992,2417,2,462,260000
86,6,2005,2005,1560,2,400,174000
87,6,2009,2009,1224,2,528,164500
88,3,1915,1982,1526,0,0,85000
89,4,1994,1995,990,0,0,123600
90,4,1950,1950,1040,2,420,109900
91,5,1961,1961,1235,2,480,98600
92,5,1921,2006,964,2,432,163500
93,6,1910,1998,2291,2,506,133900
94,6,1997,1997,1786,2,684,204750
95,6,1993,1993,1470,2,420,185000
96,7,1999,1999,1588,2,472,214000
97,4,1965,1965,960,1,432,94750
98,5,1920,1950,835,1,366,83000
99,4,1959,1959,1225,0,0,128950
100,6,1977,2001,1610,2,480,205000
101,6,1985,1985,1732,2,476,178000
102,5,1979,1979,1535,2,410,118964
103,7,2009,2009,1226,3,740,198900
104,7,1931,1950,1818,1,240,169500
105,8,2003,2004,1992,2,648,250000
106,4,1885,1995,1047,1,273,100000
107,5,1948,1950,789,1,250,115000
108,5,1919,2005,1517,0,0,115000
109,6,1977,1977,1844,2,546,190000
110,6,1954,1972,1855,1,325,136900
111,7,2000,2000,1430,2,400,180000
112,7,2007,2007,2696,3,792,383970
113,6,1953,1953,2259,2,450,217000
114,6,1945,2002,2320,1,180,259500
115,6,1999,1999,1458,2,440,176000
116,5,1962,1962,1092,1,288,139000
117,5,2006,2007,1125,2,430,155000
118,7,1990,1990,3222,3,594,320000
119,6,2005,2006,1456,2,390,163990
120,6,1969,1969,988,2,540,180000
121,4,1939,1950,1123,1,264,100000
122,6,1958,1958,1080,1,288,136000
123,6,1993,1993,1199,2,530,153900
124,6,1979,1998,1586,2,435,181000
125,6,1935,1982,754,0,0,84500
126,6,1976,1976,958,2,440,128000
127,5,1930,1950,840,0,0,87000
128,6,1966,1966,1348,2,453,155000
129,5,1958,1991,1053,2,750,150000
130,7,1966,1966,2157,2,487,226000
131,6,2000,2000,2054,2,390,244000
132,5,1959,2002,1327,2,624,150750
133,8,2001,2002,1296,2,471,220000
134,5,1968,1993,1721,2,440,180000
135,7,1970,1970,1682,2,530,174000
136,5,1967,1967,1214,1,318,143000
137,7,1988,1989,1959,3,766,171000
138,8,1999,2000,1852,3,660,230000
139,6,1997,1997,1764,2,470,231500
140,4,1971,1971,864,0,0,115000
141,7,2005,2005,1734,2,660,260000
142,5,1952,1952,1385,2,720,166000
143,7,1999,1999,1501,2,577,204000
144,5,1963,1963,1728,2,504,125000
145,6,2004,2006,1709,2,380,130000
146,5,1931,1993,875,1,180,105000
147,7,2001,2001,2035,2,434,222500
148,7,2004,2005,1080,0,0,141000
149,5,1936,1950,1344,1,240,115000
150,5,1975,1975,969,2,440,122000
151,8,2007,2008,1710,3,866,372402
152,6,1971,1971,1993,2,495,190000
153,6,1960,1975,1252,2,564,235000
154,6,1923,1950,1200,1,312,125000
155,6,1924,1950,1096,0,0,79000
156,5,1950,1950,1040,2,625,109500
157,8,2009,2010,1968,3,680,269500
158,7,2004,2005,1947,2,678,254900
159,7,2005,2006,2462,2,576,320000
160,6,1984,1984,1232,2,516,162500
161,9,2003,2004,2668,3,726,412500
162,7,2005,2005,1541,2,532,220000
163,4,1956,1956,882,0,0,103200
164,6,1926,2004,1616,1,216,152000
165,5,1940,1999,1355,0,0,127500
166,5,1955,1993,1867,1,303,190000
167,8,2007,2007,2161,3,789,325624
168,7,2004,2004,1720,2,440,183500
169,8,1981,1981,1707,2,511,228000
170,5,1941,1950,1382,2,660,128500
171,6,1960,1960,1656,2,528,215000
172,7,1987,1987,1767,2,504,239000
173,6,1961,1961,1362,2,504,163000
174,6,1986,1986,1651,2,616,184000
175,6,1950,2001,2158,2,576,243000
176,6,1988,1989,2060,2,521,211000
177,5,1958,1958,1920,2,451,172500
